iter	Passed	Remaining
0	5	5288
1	9	4630
2	13	4389
3	17	4301
4	21	4337
5	26	4336
6	30	4382
7	34	4323
8	39	4348
9	43	4296
10	48	4330
11	52	4288
12	56	4279
13	60	4266
14	64	4260
15	68	4243
16	73	4235
17	77	4230
18	81	4229
19	90	4453
20	98	4615
21	110	4907
22	114	4864
23	118	4830
24	124	4872
25	129	4835
26	132	4789
27	138	4805
28	142	4767
29	146	4737
30	150	4712
31	155	4698
32	159	4668
33	163	4650
34	167	4622
35	172	4618
36	176	4591
37	180	4578
38	184	4552
39	189	4542
40	193	4520
41	197	4503
42	201	4480
43	208	4520
44	212	4500
45	216	4487
46	220	4467
47	225	4465
48	229	4454
49	233	4441
50	237	4427
51	242	4415
52	245	4395
53	254	4451
54	261	4492
55	277	4678
56	281	4658
57	287	4667
58	291	4645
59	295	4634
60	301	4633
61	305	4620
62	309	4598
63	313	4588
64	317	4572
65	322	4558
66	326	4541
67	330	4531
68	334	4515
69	339	4506
70	343	4493
71	347	4483
72	351	4467
73	356	4459
74	360	4443
75	364	4431
76	368	4415
77	372	4407
78	376	4392
79	380	4379
80	385	4374
81	389	4365
82	393	4351
83	398	4341
84	402	4328
85	405	4313
86	410	4305
87	417	4322
88	421	4309
89	425	4304
90	441	4409
91	449	4432
92	456	4450
93	471	4541
94	483	4602
95	487	4587
96	492	4583
97	496	4571
98	500	4558
99	506	4561
100	510	4547
101	518	4568
102	523	4558
103	527	4546
104	532	4538
105	542	4573
106	546	4563
107	551	4559
108	557	4558
109	562	4552
110	591	4734
111	596	4725
112	600	4713
113	605	4706
114	610	4697
115	614	4683
116	619	4679
117	626	4683
118	657	4871
119	662	4855
120	669	4860
121	673	4844
122	677	4827
123	682	4818
124	686	4802
125	690	4788
126	695	4778
127	699	4762
128	703	4748
129	707	4735
130	711	4720
131	715	4706
132	720	4694
133	724	4685
134	728	4670
135	736	4676
136	743	4681
137	749	4682
138	757	4691
139	763	4687
140	771	4700
141	780	4714
142	787	4720
143	799	4753
144	803	4739
145	807	4725
146	812	4713
147	816	4700
148	820	4688
149	826	4684
150	831	4673
151	835	4659
152	841	4656
153	848	4663
154	857	4672
155	865	4682
156	874	4693
157	881	4698
158	889	4706
159	898	4718
160	903	4706
161	907	4692
162	911	4682
163	917	4675
164	922	4666
165	932	4684
166	940	4693
167	954	4725
168	978	4811
169	985	4809
170	989	4795
171	995	4790
172	999	4778
173	1006	4779
174	1012	4775
175	1020	4776
176	1026	4773
177	1032	4767
178	1035	4751
179	1041	4745
180	1043	4723
181	1052	4729
182	1057	4720
183	1065	4726
184	1071	4718
185	1079	4723
186	1084	4714
187	1092	4718
188	1099	4715
189	1109	4728
190	1121	4748
191	1126	4740
192	1131	4732
193	1137	4725
194	1145	4730
195	1154	4737
196	1164	4746
197	1168	4732
198	1172	4719
199	1178	4713
200	1184	4709
201	1189	4698
202	1193	4687
203	1198	4676
204	1204	4670
205	1209	4661
206	1214	4651
207	1219	4643
208	1224	4634
209	1228	4623
210	1233	4612
211	1238	4601
212	1242	4591
213	1246	4579
214	1251	4569
215	1260	4573
216	1266	4571
217	1275	4575
218	1284	4582
219	1303	4622
220	1308	4610
221	1315	4608
222	1320	4599
223	1325	4591
224	1329	4578
225	1333	4566
226	1337	4554
227	1342	4545
228	1347	4537
229	1348	4515
230	1353	4504
231	1358	4495
232	1362	4484
233	1366	4473
234	1371	4463
235	1375	4452
236	1379	4439
237	1383	4430
238	1387	4417
239	1391	4405
240	1395	4394
241	1399	4383
242	1403	4371
243	1407	4360
244	1411	4350
245	1415	4338
246	1424	4343
247	1469	4455
248	1473	4443
249	1479	4437
250	1483	4425
251	1487	4413
252	1491	4404
253	1495	4392
254	1499	4380
255	1503	4369
256	1507	4358
257	1511	4347
258	1515	4335
259	1519	4325
260	1523	4313
261	1527	4303
262	1532	4295
263	1536	4284
264	1540	4273
265	1544	4262
266	1548	4252
267	1553	4242
268	1556	4231
269	1561	4220
270	1565	4210
271	1569	4199
272	1573	4189
273	1577	4179
274	1581	4168
275	1585	4158
276	1593	4160
277	1601	4159
278	1609	4159
279	1617	4159
280	1624	4156
281	1628	4146
282	1633	4138
283	1646	4150
284	1653	4148
285	1657	4137
286	1661	4127
287	1665	4117
288	1670	4109
289	1674	4098
290	1678	4088
291	1682	4078
292	1686	4068
293	1690	4058
294	1694	4049
295	1698	4039
296	1704	4034
297	1709	4026
298	1714	4018
299	1722	4018
300	1726	4008
301	1730	3999
302	1734	3989
303	1741	3986
304	1748	3983
305	1756	3984
306	1762	3978
307	1770	3978
308	1777	3975
309	1785	3973
310	1799	3987
311	1804	3980
312	1809	3970
313	1813	3962
314	1817	3953
315	1821	3943
316	1825	3934
317	1834	3935
318	1848	3946
319	1853	3938
320	1861	3936
321	1865	3926
322	1869	3917
323	1875	3913
324	1880	3906
325	1884	3896
326	1888	3887
327	1893	3878
328	1896	3868
329	1900	3859
330	1905	3850
331	1909	3841
332	1913	3832
333	1917	3823
334	1923	3818
335	1930	3815
336	1938	3814
337	1947	3814
338	1961	3824
339	1979	3843
340	1983	3833
341	1987	3824
342	1991	3814
343	1997	3808
344	2001	3799
345	2005	3790
346	2009	3781
347	2013	3772
348	2017	3763
349	2021	3754
350	2025	3744
351	2029	3735
352	2033	3726
353	2037	3717
354	2041	3708
355	2045	3700
356	2049	3690
357	2053	3682
358	2057	3673
359	2061	3664
360	2064	3654
361	2068	3646
362	2072	3637
363	2076	3628
364	2080	3620
365	2084	3611
366	2092	3609
367	2101	3608
368	2109	3606
369	2116	3603
370	2122	3599
371	2131	3597
372	2139	3596
373	2144	3590
374	2151	3585
375	2155	3577
376	2163	3575
377	2167	3567
378	2171	3558
379	2175	3550
380	2182	3546
381	2187	3538
382	2191	3530
383	2195	3522
384	2199	3513
385	2203	3504
386	2207	3496
387	2211	3488
388	2215	3479
389	2219	3471
390	2223	3463
391	2227	3454
392	2231	3445
393	2234	3437
394	2238	3429
395	2242	3420
396	2263	3438
397	2271	3436
398	2280	3434
399	2288	3432
400	2292	3424
401	2296	3415
402	2300	3408
403	2305	3401
404	2313	3398
405	2319	3392
406	2324	3386
407	2328	3378
408	2332	3369
409	2336	3362
410	2340	3354
411	2344	3346
412	2348	3338
413	2353	3330
414	2357	3322
415	2361	3314
416	2365	3306
417	2369	3298
418	2372	3290
419	2376	3282
420	2380	3274
421	2384	3266
422	2388	3257
423	2392	3249
424	2396	3242
425	2400	3234
426	2404	3226
427	2408	3218
428	2412	3211
429	2416	3203
430	2420	3195
431	2426	3190
432	2433	3186
433	2440	3183
434	2448	3180
435	2456	3177
436	2463	3174
437	2471	3171
438	2475	3163
439	2506	3190
440	2510	3182
441	2514	3174
442	2519	3167
443	2523	3160
444	2527	3152
445	2532	3145
446	2536	3138
447	2541	3130
448	2545	3123
449	2549	3116
450	2553	3108
451	2557	3100
452	2561	3092
453	2565	3085
454	2569	3077
455	2573	3070
456	2577	3063
457	2582	3055
458	2585	3047
459	2593	3045
460	2602	3042
461	2609	3039
462	2620	3039
463	2628	3036
464	2633	3030
465	2638	3023
466	2659	3035
467	2665	3029
468	2669	3022
469	2683	3025
470	2687	3018
471	2695	3015
472	2700	3008
473	2709	3007
474	2713	2999
475	2719	2993
476	2726	2988
477	2738	2990
478	2743	2984
479	2747	2976
480	2754	2971
481	2760	2967
482	2768	2963
483	2772	2956
484	2785	2957
485	2813	2975
486	2822	2973
487	2832	2972
488	2843	2971
489	2850	2966
490	2855	2960
491	2860	2954
492	2869	2951
493	2898	2968
494	2917	2976
495	2924	2971
496	2928	2963
497	2932	2956
498	2938	2949
499	2942	2942
500	2973	2961
501	2983	2959
502	2987	2951
503	2997	2949
504	3003	2943
505	3012	2940
506	3016	2933
507	3025	2930
508	3047	2940
509	3059	2939
510	3063	2931
511	3067	2923
512	3073	2918
513	3078	2910
514	3087	2907
515	3093	2901
516	3098	2894
517	3130	2913
518	3139	2909
519	3146	2904
520	3150	2896
521	3155	2889
522	3159	2881
523	3176	2885
524	3189	2886
525	3193	2878
526	3204	2876
527	3221	2879
528	3242	2886
529	3261	2892
530	3272	2890
