iter	Passed	Remaining
0	4	4354
1	9	4709
2	13	4504
3	17	4382
4	21	4248
5	25	4220
6	29	4196
7	33	4110
8	36	4053
9	40	4037
10	44	3987
11	47	3949
12	51	3903
13	54	3858
14	58	3851
15	63	3887
16	67	3896
17	70	3846
18	74	3826
19	77	3786
20	80	3741
21	83	3703
22	86	3678
23	90	3673
24	93	3649
25	96	3620
26	99	3590
27	103	3577
28	106	3559
29	109	3533
30	112	3522
31	115	3500
32	118	3480
33	121	3464
34	124	3436
35	127	3409
36	130	3395
37	133	3374
38	136	3370
39	139	3353
40	142	3335
41	145	3318
42	148	3307
43	152	3304
44	159	3387
45	162	3377
46	166	3370
47	169	3369
48	173	3362
49	177	3366
50	182	3389
51	185	3375
52	188	3367
53	191	3352
54	194	3336
55	197	3330
56	200	3315
57	203	3301
58	206	3292
59	209	3279
60	212	3266
61	215	3256
62	217	3241
63	220	3228
64	223	3218
65	227	3213
66	230	3208
67	233	3199
68	235	3173
69	238	3163
70	241	3157
71	244	3154
72	247	3148
73	251	3144
74	254	3139
75	257	3134
76	261	3131
77	264	3127
78	267	3122
79	271	3117
80	274	3112
81	277	3108
82	281	3105
83	284	3101
84	287	3096
85	290	3090
86	294	3086
87	297	3081
88	300	3078
89	303	3072
90	307	3068
91	310	3064
92	313	3058
93	316	3053
94	320	3049
95	323	3046
96	326	3041
97	329	3036
98	333	3031
99	336	3025
100	339	3022
101	342	3017
102	345	3012
103	349	3010
104	352	3005
105	356	3004
106	359	3000
107	362	2995
108	366	2992
109	369	2987
110	372	2985
111	375	2980
112	379	2975
113	382	2970
114	385	2969
115	389	2965
116	392	2960
117	395	2957
118	398	2952
119	402	2951
120	406	2951
121	409	2946
122	412	2941
123	415	2938
124	419	2935
125	422	2931
126	425	2927
127	428	2921
128	432	2919
129	435	2916
130	438	2911
131	441	2906
132	445	2901
133	448	2896
134	451	2892
135	454	2887
136	457	2881
137	460	2878
138	464	2874
139	467	2870
140	470	2866
141	473	2861
142	476	2855
143	479	2851
144	483	2849
145	486	2844
146	489	2840
147	492	2835
148	496	2833
149	499	2832
150	502	2827
151	505	2821
152	509	2818
153	512	2815
154	515	2810
155	518	2806
156	521	2801
157	524	2797
158	528	2795
159	531	2789
160	534	2784
161	537	2781
162	540	2776
163	544	2773
164	547	2769
165	550	2763
166	553	2759
167	556	2756
168	559	2753
169	563	2748
170	566	2745
171	569	2740
172	572	2735
173	575	2732
174	578	2728
175	581	2723
176	584	2720
177	588	2715
178	591	2711
179	594	2708
180	597	2704
181	600	2700
182	604	2697
183	607	2694
184	610	2690
185	614	2687
186	617	2683
187	620	2679
188	623	2677
189	626	2672
190	630	2668
191	633	2665
192	636	2660
193	639	2657
194	642	2654
195	647	2654
196	650	2653
197	654	2652
198	657	2647
199	661	2645
200	664	2642
201	667	2637
202	671	2635
203	674	2631
204	677	2626
205	680	2623
206	683	2618
207	686	2615
208	690	2612
209	693	2607
210	696	2605
211	700	2602
212	703	2598
213	707	2598
214	711	2596
215	714	2594
216	718	2592
217	721	2589
218	725	2586
219	728	2584
220	732	2580
221	736	2580
222	739	2578
223	744	2579
224	748	2577
225	752	2577
226	755	2574
227	758	2569
228	761	2565
229	765	2562
230	768	2557
231	771	2553
232	774	2550
233	777	2545
234	781	2543
235	784	2539
236	787	2535
237	790	2531
238	793	2527
239	797	2524
240	800	2520
241	803	2516
242	806	2512
243	809	2509
244	813	2507
245	817	2504
246	820	2500
247	823	2497
248	826	2492
249	829	2489
250	833	2486
251	836	2481
252	839	2477
253	842	2474
254	845	2470
255	849	2467
256	852	2464
257	855	2459
258	858	2456
259	862	2454
260	865	2449
261	868	2445
262	871	2441
263	874	2437
264	877	2434
265	880	2430
266	883	2426
267	886	2422
268	890	2419
269	895	2422
270	904	2432
271	910	2437
272	916	2439
273	921	2442
274	927	2445
275	933	2448
276	939	2451
277	944	2452
278	951	2457
279	953	2452
280	961	2459
281	964	2454
282	967	2450
283	970	2446
284	973	2443
285	976	2438
286	980	2434
287	983	2431
288	986	2427
289	989	2423
290	992	2419
291	996	2414
292	1001	2415
293	1004	2412
294	1007	2408
295	1011	2404
296	1014	2401
297	1018	2398
298	1022	2397
299	1026	2394
300	1029	2391
301	1032	2387
302	1036	2383
303	1039	2379
304	1042	2375
305	1045	2371
306	1048	2367
307	1052	2364
308	1055	2360
309	1058	2356
310	1061	2352
311	1064	2347
312	1067	2343
313	1071	2340
314	1074	2336
315	1078	2333
316	1081	2330
317	1084	2326
318	1088	2323
319	1090	2318
320	1094	2314
321	1097	2310
322	1100	2306
323	1104	2303
324	1107	2299
325	1110	2295
326	1113	2292
327	1117	2288
328	1120	2284
329	1123	2280
330	1126	2277
331	1130	2273
332	1133	2270
333	1136	2266
334	1140	2263
335	1143	2259
336	1146	2256
337	1149	2251
338	1152	2247
339	1155	2243
340	1159	2239
341	1162	2236
342	1165	2232
343	1168	2228
344	1171	2224
345	1174	2220
346	1177	2216
347	1181	2213
348	1186	2213
349	1189	2209
350	1193	2206
351	1196	2202
352	1199	2198
353	1202	2194
354	1212	2202
355	1215	2199
356	1224	2205
357	1230	2206
358	1235	2206
359	1242	2208
360	1251	2215
361	1256	2214
362	1259	2210
363	1263	2206
364	1266	2202
365	1270	2199
366	1274	2198
367	1279	2196
368	1283	2194
369	1288	2194
370	1291	2190
371	1295	2186
372	1298	2182
373	1301	2178
374	1306	2177
375	1309	2173
376	1312	2169
377	1316	2166
378	1321	2165
379	1325	2162
380	1328	2158
381	1331	2154
382	1335	2151
383	1338	2147
384	1341	2143
385	1344	2139
386	1346	2133
387	1349	2129
388	1353	2126
389	1356	2122
390	1359	2118
391	1363	2114
392	1366	2110
393	1369	2106
394	1372	2102
395	1375	2098
396	1379	2094
397	1382	2090
398	1385	2086
399	1388	2083
400	1392	2079
401	1395	2075
402	1398	2071
403	1400	2065
404	1403	2062
405	1406	2057
406	1409	2054
407	1413	2050
408	1416	2046
409	1419	2042
410	1422	2039
411	1425	2035
412	1428	2031
413	1432	2027
414	1435	2023
415	1438	2019
416	1441	2015
417	1445	2012
418	1448	2008
419	1451	2004
420	1454	2000
421	1458	1997
422	1461	1993
423	1464	1989
424	1467	1985
425	1470	1981
426	1473	1977
427	1476	1973
428	1480	1970
429	1483	1966
430	1486	1962
431	1489	1958
432	1492	1954
433	1495	1950
434	1499	1947
435	1502	1943
436	1505	1939
437	1508	1935
438	1511	1931
439	1514	1928
440	1517	1924
441	1520	1920
442	1524	1916
443	1527	1912
444	1530	1909
445	1533	1905
446	1536	1901
447	1540	1897
448	1543	1893
449	1546	1890
450	1549	1886
451	1552	1882
452	1556	1878
453	1559	1874
454	1562	1871
455	1565	1867
456	1568	1863
457	1571	1860
458	1575	1856
459	1578	1853
460	1581	1849
461	1584	1845
462	1588	1842
463	1591	1838
464	1594	1834
465	1598	1832
466	1602	1828
467	1605	1825
468	1608	1821
469	1612	1818
470	1617	1816
471	1627	1820
472	1632	1818
473	1641	1821
474	1645	1818
475	1648	1814
476	1658	1817
477	1661	1814
478	1664	1810
479	1675	1815
480	1678	1811
481	1681	1807
482	1687	1805
483	1690	1801
484	1697	1802
485	1703	1801
486	1706	1797
487	1715	1799
488	1720	1797
489	1723	1793
490	1731	1794
491	1736	1792
492	1740	1790
493	1751	1793
494	1754	1790
495	1763	1791
496	1768	1790
497	1772	1786
498	1782	1789
499	1786	1786
500	1796	1789
501	1802	1787
502	1812	1790
503	1828	1799
504	1833	1796
505	1837	1793
506	1849	1798
507	1853	1795
508	1865	1799
509	1869	1796
510	1878	1797
511	1884	1796
512	1894	1798
513	1897	1794
514	1901	1790
515	1917	1798
516	1977	1847
517	1991	1852
518	1996	1850
519	2007	1853
520	2030	1866
521	2055	1881
522	2087	1903
523	2094	1902
524	2098	1898
525	2104	1896
526	2108	1892
527	2112	1888
528	2117	1885
529	2121	1881
530	2125	1877
531	2128	1872
532	2132	1868
533	2136	1864
534	2139	1859
535	2143	1855
536	2147	1851
537	2150	1846
538	2154	1842
539	2157	1837
540	2160	1833
541	2163	1828
542	2167	1823
543	2170	1819
544	2173	1814
545	2176	1809
546	2179	1805
547	2182	1800
548	2186	1796
549	2189	1791
550	2192	1786
551	2196	1783
552	2200	1778
553	2203	1774
554	2207	1770
555	2211	1766
556	2215	1761
557	2218	1757
558	2221	1752
559	2224	1747
560	2228	1743
561	2231	1738
562	2234	1734
563	2237	1729
564	2240	1724
565	2243	1720
566	2246	1715
567	2250	1711
568	2253	1706
569	2256	1701
570	2259	1697
571	2262	1692
572	2265	1688
573	2268	1683
574	2271	1679
575	2275	1674
576	2278	1670
577	2281	1665
578	2284	1661
579	2287	1656
580	2291	1652
581	2294	1647
582	2297	1643
583	2301	1639
584	2304	1635
585	2308	1630
586	2311	1626
587	2314	1621
588	2317	1617
589	2321	1613
590	2324	1608
591	2327	1604
592	2330	1599
593	2333	1595
594	2337	1590
595	2340	1586
596	2343	1581
597	2346	1577
598	2349	1572
599	2352	1568
600	2356	1564
601	2359	1559
602	2362	1555
603	2365	1550
604	2368	1546
605	2372	1542
606	2375	1537
607	2378	1533
608	2381	1529
609	2396	1531
610	2411	1535
611	2423	1536
612	2430	1534
613	2440	1534
614	2445	1530
615	2450	1527
616	2454	1523
617	2457	1519
618	2485	1529
619	2500	1532
620	2512	1533
621	2518	1530
622	2525	1527
623	2535	1527
624	2540	1524
625	2558	1528
626	2571	1529
627	2593	1536
628	2600	1533
629	2604	1529
630	2617	1530
631	2630	1531
632	2637	1529
633	2647	1528
634	2654	1525
635	2678	1533
636	2685	1530
637	2695	1529
638	2702	1526
639	2706	1522
640	2716	1521
641	2719	1516
642	2723	1512
643	2730	1509
644	2734	1505
645	2738	1500
646	2746	1498
647	2752	1495
